,0
203,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
204,"RT @SIFKtka: Congrats to the brave #IndianAirForce Men who led the #AirStrike and for the meticulous execution. @IAF_MCC 

Salute to PM @na…"
205,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
206,"RT @ashu3page: Our Casualty in last few days : 

44 CRPF 
6 army including 2 officers 
2 IAF pilots 
4 Airforce officers 
1 Pilot arrested…"
207,"RT @geetv79: For hours after #PulwamaAttack Nero was happily indulging in a narcissistic film-shoot: 
@RahulGandhi slams the callous neglig…"
208,"RT @rahulpandita: I was chatting with a friend from the CRPF involved in the evacuation of Mi17 victims in Budgam, Kashmir. 

He wrote: who…"
209,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
210,"RT @Burhan_Wani1: Parveena Begum admitted in SDH Handwara #Kashmir &amp; was in urgent need of blood, provided blood by CRPF Madadgaar donated…"
211,Sadly at this time everyone is thinking about Abhinandan and his family but nobody is thinking about family of 44 C… https://t.co/0ERGe1b7XC
212,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
213,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
214,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
215,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
216,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
217,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
218,"RT @JantaKaReporter: Fallen CRPF soldier’s mother calls Indian air strikes in Pakistan a ‘lie’
https://t.co/2HFYXbOKsK"
219,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
220,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
221,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
222,"सभी देशवासियों से अनुरोध है कि ""रेड अलर्ट"" तथा ""धारा-१४४"" के चलते पुलिस व सुरक्षाकर्मियों (#crpf #cisf) आदि का कानू… https://t.co/8fDflB2D7R"
223,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
224,RT @MLCvijaysingh: Highly condemnable the attack on #CRPF jawans in #Pulwama.Deepest condolences to the family of the martyred .May the inj…
225,"RT @suchitrav: Yet, what remains a mystery is how such a large amount of RDX could have been smuggled into the Valley from Pakistan through…"
226,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
227,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
228,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
229,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
230,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
231,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
232,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
233,"RT @Nikhil_Dwivedi: Can't understand this sudden #SayNoToWar clamor?? India did not start any war. Not now
Not ever. Violence was perpetrat…"
234,"RT @SudarshanNewsTV: भारत के अन्दर ही #CRPF के 2 जवानों  पर हमला. जिला उत्तर प्रदेश का #मऊ और जगह का नाम “फातिमा चौराहा”

@maupolice @Uppol…"
235,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
236,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
237,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
238,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
239,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
240,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
241,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
242,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
243,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
244,RT @IndiaToday: The Narendra Modi government and our forces should continue the airstrikes until terrorism is completely finished in Pakist…
245,@MirMAKOfficial terrorists are happily living in pak.Those ppl assasinated india's CRPF team killing 44 soldiers an… https://t.co/qXuLzyFjRj
246,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
247,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
248,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
249,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
250,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
251,@AdityaMenon22 1. And what exactly did you when Kashmri Pandits were ousted from their own homes and men were asked… https://t.co/YoIvIJmF9I
252,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
253,RT @rose_k01: @BDUTT Barkha the 45 CRPF Jawans killed in #Pulwana were ALL YOUNG. They died coz of Pakistan waging PROXY WAR. Soldiers like…
254,"RT @Bismilbulbul: @rahulpandita But PM Modi has given free hand ?? which free hand PM hs given ? still CRPF begging ? not acceptable , ston…"
255,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
256,RT @IndiaToday: The Narendra Modi government and our forces should continue the airstrikes until terrorism is completely finished in Pakist…
257,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
258,RT @IndiaToday: The Narendra Modi government and our forces should continue the airstrikes until terrorism is completely finished in Pakist…
259,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
260,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
261,"RT @padhalikha: DEATHS during PEACETIME 

44 CRPF Jawans blasted on Feb 14. 
270 civilians killed during 26/11 
4700+ soldiers killed in Ka…"
262,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
263,RT @vijaita: NIA conducts searches at 11 locations in South Kashmir regarding the Pulwama terror attack case where 40 CRPF personnel were k…
264,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
265,"RT @samajwadkiawaz: Our Casualty in last few days : 

44 CRPF 
6 army including 2 officers 
2 IAF pilots 
4 Airforce officers 
1 Pilot arre…"
266,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
267,"BJP leaders have been doing election rallies, Modi has been attending party events, when CRPF jawans were martyred… https://t.co/mKpvHR7nms"
268,"RT @WordOfTheFree: A few days ago: tears for killed CRPF personnel.
Today: Lauding the man who got them killed.
Indian fourth estate fifth…"
269,"RT @ashu3page: Our Casualty in last few days : 

44 CRPF 
6 army including 2 officers 
2 IAF pilots 
4 Airforce officers 
1 Pilot arrested…"
270,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
271,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
272,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
273,"RT @SitaramYechury: BJP leaders have been doing election rallies, Modi has been attending party events, when CRPF jawans were martyred or w…"
274,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
275,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
276,"RT @SudarshanNewsTV: भारत के अन्दर ही #CRPF के 2 जवानों  पर हमला. जिला उत्तर प्रदेश का #मऊ और जगह का नाम “फातिमा चौराहा”

@maupolice @Uppol…"
277,"RT @rahulpandita: I was chatting with a friend from the CRPF involved in the evacuation of Mi17 victims in Budgam, Kashmir. 

He wrote: who…"
278,"RT @ashu3page: Our Casualty in last few days : 

44 CRPF 
6 army including 2 officers 
2 IAF pilots 
4 Airforce officers 
1 Pilot arrested…"
279,"RT @rahulpandita: I was chatting with a friend from the CRPF involved in the evacuation of Mi17 victims in Budgam, Kashmir. 

He wrote: who…"
280,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
281,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
282,RT @ShikhaJunejaM: @rahulpandita Ufff . All this after all that has happened. My heart goes out to the CRPF jawans
283,"RT @rahulpandita: I was chatting with a friend from the CRPF involved in the evacuation of Mi17 victims in Budgam, Kashmir. 

He wrote: who…"
284,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
285,RT @keel1616: Dumeels who are furiously tweeting #BringAbhinandanBack were deriding the death of 2 CRPF jawans from TN saying why did they…
286,"RT @rahulpandita: I was chatting with a friend from the CRPF involved in the evacuation of Mi17 victims in Budgam, Kashmir. 

He wrote: who…"
287,"@sagarikaghose Bleeding mother con story ,why not such compassion for CRPF myrtyrs ~~?"
288,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
289,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
290,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
291,"RT @gallerygrandeur: Our Casualty in last 11 days : 

44 CRPF 
6 Army including 2 Officers 
2 IAF Pilots 
4 Airforce Officers 
1 Pilot arre…"
292,"RT @India_Policy: Lastly, those who are referring to Imran Khan as statesman, please ask him to turn over Azhar Massod and other terrorists…"
293,RT @IndiaToday: The Narendra Modi government and our forces should continue the airstrikes until terrorism is completely finished in Pakist…
294,"RT @padhalikha: DEATHS during PEACETIME 

44 CRPF Jawans blasted on Feb 14. 
270 civilians killed during 26/11 
4700+ soldiers killed in Ka…"
295,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
296,RT @ShefVaidya: Time to remember that the #IAF raids in Balakote didn’t happen coz India was seeking a thrill. They happened coz a Jaish-E-…
297,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
298,"RT @ipunamchoudhary: Which one of the peace loving free thinker, who don't tweet a single line in free want to take the place of Army perso…"
299,"RT @ShefVaidya: We said #SayNoToWar, didn’t save the innocents who lost their lives on 26/11. We said #SayNoToWar, didn’t save the lives of…"
